id, videoID, type, start, end
1,EMB01_CAM/S0001_I00001_C001/EMB01_CAM_IMG_0947.MOV,2,29,32.63 
2,EMB01_CAM/S0001_I00001_C001/EMB01_CAM_IMG_0948.MOV,1,20,26.92 
3,EMB01_CAM/S0001_I00001_C001/EMB01_CAM_IMG_0949.MOV,1,13,19.8 
4,EMB01_CAM/S0001_I00001_C001/EMB01_CAM_IMG_0950.MOV,2,21,24.34 
5,EMB01_CAM/S0001_I00001_C001/EMB01_CAM_IMG_0951.MOV,2,6,10.64 
6,EMB01_CAM/S0001_I00001_C001/EMB01_CAM_IMG_0952.MOV,1,18,26.17 
7,EMB01_CAM/S0002_I00004_C001/EMB01_CAM_IMG_0953.MOV,1,11,43.9 
8,EMB01_CAM/S0002_I00004_C001/EMB01_CAM_IMG_0954.MOV,2,17,74.42 
9,EMB01_CAM/S0002_I00004_C001/EMB01_CAM_IMG_0955.MOV,2,18,58.86 
10,EMB01_CAM/S0002_I00004_C001/EMB01_CAM_IMG_0956.MOV,2,15,48.8 
11,EMB01_CAM/S0002_I00004_C001/EMB01_CAM_IMG_0957.MOV,2,21,59.88 
12,EMB01_CAM/S0002_I00011_C002/EMB01_CAM_IMG_0958.MOV,1,18,31.63 
13,EMB01_CAM/S0002_I00011_C002/EMB01_CAM_IMG_0959.MOV,1,5,19.72 
14,EMB01_CAM/S0002_I00011_C002/EMB01_CAM_IMG_0963.MOV,1,22,34.99 
15,EMB01_CAM/S0002_I00011_C002/EMB01_CAM_IMG_0964.MOV,1,22,28.78 
16,EMB01_CAM/S0002_I00011_C002/EMB01_CAM_IMG_0965.MOV,1,24,31.92 
17,EMB01_CAM/S0002_I00011_C002/EMB01_CAM_IMG_0967.MOV,2,21,38.74 
18,EMB01_CAM/S0002_I00011_C002/EMB01_CAM_IMG_0968.MOV,1,17,24.72 
19,EMB01_CAM/S0002_I00011_C002/EMB01_CAM_IMG_0969.MOV,2,28,34.78 
20,EMB01_CAM/S0002_I00018_C002/EMB01_CAM_IMG_0970.MOV,2,22,27.77 
21,EMB01_CAM/S0002_I00018_C002/EMB01_CAM_IMG_0972.MOV,1,6,17.16 
22,EMB01_CAM/S0002_I00018_C002/EMB01_CAM_IMG_0974.MOV,2,30,34.3 
23,EMB01_CAM/S0002_I00018_C002/EMB01_CAM_IMG_0975.MOV,1,17,37.82 
24,EMB01_CAM/S0002_I00018_C002/EMB01_CAM_IMG_0976.MOV,1,23,33.9 
25,EMB01_CAM/S0002_I00018_C002/EMB01_CAM_IMG_0977.MOV,2,22,29.92 
26,EMB01_CAM/S0002_I00018_C002/EMB01_CAM_IMG_0978.MOV,2,8,15.88 
27,EMB01_CAM/S0002_I00018_C002/EMB01_CAM_IMG_0979.MOV,1,10,30.78 
28,EMB01_CAM/S0003_I00005_C001/EMB01_CAM_IMG_0980.MOV,2,6,11.04 
29,EMB01_CAM/S0003_I00005_C001/EMB01_CAM_IMG_0981.MOV,1,7,18.52 
30,EMB01_CAM/S0003_I00005_C001/EMB01_CAM_IMG_0983.MOV,2,7,15.04 
31,EMB01_CAM/S0003_I00005_C001/EMB01_CAM_IMG_0984.MOV,1,24,34.56 
32,EMB01_CAM/S0003_I00005_C001/EMB01_CAM_IMG_0985.MOV,2,5,11.04 
33,EMB01_CAM/S0003_I00005_C001/EMB01_CAM_IMG_0987.MOV,2,13,19.56 
34,EMB01_CAM/S0003_I00005_C001/EMB01_CAM_IMG_0988.MOV,2,27,37 
35,EMB01_CAM/S0003_I00005_C001/EMB01_CAM_IMG_0989.MOV,1,10,21.52 
36,EMB01_CAM/S0003_I00005_C001/EMB01_CAM_IMG_0990.MOV,2,26,32.52 
37,EMB01_CAM/S0006_I00002_C003/EMB01_CAM_IMG_0994.MOV,1,26,66.75 
38,EMB01_CAM/S0006_I00002_C003/EMB01_CAM_IMG_0995.MOV,2,27,57.05 
39,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_0996.MOV,1,13,30.7 
40,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_0997.MOV,2,19,36.26 
41,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_0999.MOV,2,25,79.81 
42,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1001.MOV,1,7,64.22 
43,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1002.MOV,1,27,54.04 
44,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1003.MOV,2,23,51.77 
45,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1005.MOV,1,13,45.26 
46,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1006.MOV,1,12,46.34 
47,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1008.MOV,1,5,78.34 
48,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1014.MOV,1,17,37.29 
49,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1015.MOV,2,5,19.18 
50,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1017.MOV,1,12,65.57 
51,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1018.MOV,2,17,29.7 
52,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1019.MOV,1,19,36.7 
53,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1021.MOV,1,11,53.66 
54,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1022.MOV,1,5,19.05 
55,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1023.MOV,1,22,25.03 
56,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1024.MOV,1,27,37.54 
57,EMB01_CAM/S0006_I00004_C001/EMB01_CAM_IMG_1025.MOV,2,13,28.01 
58,EMB01_CAM/S0007_I00001_C003/EMB01_CAM_IMG_1029.MOV,1,11,60.33 
59,EMB01_CAM/S0007_I00001_C003/EMB01_CAM_IMG_1030.MOV,1,28,78.68 
60,EMB01_CAM/S0007_I00001_C003/EMB01_CAM_IMG_1031.MOV,2,17,99.81 
61,EMB01_CAM/S0007_I00001_C003/EMB01_CAM_IMG_1032.MOV,2,26,120.78 
62,EMB01_CAM/S0007_I00001_C003/EMB01_CAM_IMG_1033.MOV,2,10,173.31 
63,EMB01_CAM/S0008_I00001_C001/EMB01_CAM_IMG_1035.MOV,2,11,16.71 
64,EMB01_CAM/S0008_I00001_C001/EMB01_CAM_IMG_1036.MOV,2,12,14.51 
65,EMB01_CAM/S0008_I00001_C001/EMB01_CAM_IMG_1038.MOV,1,11,18.51 
